"time","Cp_p[1]","Cp_p[2]","Cp_p[3]","Cp_pc[1,1]","Cp_pc[1,2]","Cp_pc[1,3]","Cp_pc[2,1]","Cp_pc[2,2]","Cp_pc[2,3]","Cp_pc[3,1]","Cp_pc[3,2]","Cp_pc[3,3]","Cpres_p[1]","Cpres_p[2]","Cpres_p[3]","F_p[1]","F_p[2]","F_p[3]","F_pc[1,1]","F_pc[1,2]","F_pc[1,3]","F_pc[2,1]","F_pc[2,2]","F_pc[2,3]","F_pc[3,1]","F_pc[3,2]","F_pc[3,3]","Fm_p[1]","Fm_p[2]","Fm_p[3]","Fm_pc[1,1]","Fm_pc[1,2]","Fm_pc[1,3]","Fm_pc[2,1]","Fm_pc[2,2]","Fm_pc[2,3]","Fm_pc[3,1]","Fm_pc[3,2]","Fm_pc[3,3]","H_p[1]","H_p[2]","H_p[3]","H_pc[1,1]","H_pc[1,2]","H_pc[1,3]","H_pc[2,1]","H_pc[2,2]","H_pc[2,3]","H_pc[3,1]","H_pc[3,2]","H_pc[3,3]","Hres_p[1]","Hres_p[2]","Hres_p[3]","K_c[1]","K_c[2]","K_c[3]","MW_p[1]","MW_p[2]","MW_p[3]","P","Pbubl","Pdew","Pvap_c[1]","Pvap_c[2]","Pvap_c[3]","S_p[1]","S_p[2]","S_p[3]","S_pc[1,1]","S_pc[1,2]","S_pc[1,3]","S_pc[2,1]","S_pc[2,2]","S_pc[2,3]","S_pc[3,1]","S_pc[3,2]","S_pc[3,3]","Sres_p[1]","Sres_p[2]","Sres_p[3]","T","gma_c[1]","gma_c[2]","gma_c[3]","gmabubl_c[1]","gmabubl_c[2]","gmabubl_c[3]","gmadew_c[1]","gmadew_c[2]","gmadew_c[3]","philiqbubl_c[1]","philiqbubl_c[2]","philiqbubl_c[3]","phivapdew_c[1]","phivapdew_c[2]","phivapdew_c[3]","x_pc[1,1]","x_pc[1,2]","x_pc[1,3]","x_pc[2,1]","x_pc[2,2]","x_pc[2,3]","x_pc[3,1]","x_pc[3,2]","x_pc[3,3]","xliq","xm_pc[1,1]","xm_pc[1,2]","xm_pc[1,3]","xm_pc[2,1]","xm_pc[2,2]","xm_pc[2,3]","xm_pc[3,1]","xm_pc[3,2]","xm_pc[3,3]","xmliq","xmvap","xvap","In.F","In.H","In.P","In.S","In.T","In.x_pc[1,1]","In.x_pc[1,2]","In.x_pc[1,3]","In.x_pc[2,1]","In.x_pc[2,2]","In.x_pc[2,3]","In.x_pc[3,1]","In.x_pc[3,2]","In.x_pc[3,3]","In.xvap","Out.F","Out.H","Out.P","Out.S","Out.T","Out.x_pc[1,1]","Out.x_pc[1,2]","Out.x_pc[1,3]","Out.x_pc[2,1]","Out.x_pc[2,2]","Out.x_pc[2,3]","Out.x_pc[3,1]","Out.x_pc[3,2]","Out.x_pc[3,3]","Out.xvap"
0.02,100.6043392450048,102.3488036612428,54.24613815654789,33.19943195085159,33.19943195085159,34.20547534330164,94.35464310667595,138.1574495225652,75.69898573833981,48.32043921839298,73.53002927694509,33.9220274481536,0,0,0,31.346262,30.20947595982235,1.136786040177651,10.34426646,10.34426646,10.65772908,9.740658131394856,9.980371201374565,10.48844662705293,0.6036083286051468,0.3638952586254374,0.1692824529470668,999.9999868332601,960.8452547086374,39.1547321246228,331.45098591132,476.55001154574,191.9989893762,312.110167846154,459.7857208761249,188.9493659863586,19.34081806516611,16.76429066961528,3.049623389841408,-34452,-35851.64363049765,2742.774665978031,-11369.16,-11369.16,-11713.68,-32068.28933621541,-35224.67186687575,-39961.85873070909,2453.676141256979,3668.058744399214,1784.587867014832,0,0,0,1.646764068307843,0.9689339261637242,0.428909070581371,31.90173,31.80608812898745,34.44336114340734,101325,102237.8797017079,75973.8648117183,166858.3692212921,98177.23006853936,43459.21157665741,-88.43927624697605,-92.39354468759305,16.64327506306227,-29.1849611615021,-29.1849611615021,-30.06935392397186,-81.37414159646008,-90.28889037694171,-104.6300058297609,12.83166803152664,20.77899017503334,21.34400225291365,0,0,0,351.000046573069,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224371764789837,0.3303722055506075,0.347190617970409,0.5309779565122194,0.3201088382195209,0.1489132052682598,0.9637345582009857,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248287550119576,0.4785221331145027,0.1966491118735397,0.4939586357942026,0.4281549064429152,0.0778864577628824,0.9608452673598371,0.03915473264016298,0.03626544179901422,31.346262,-34452,101325,-88.43927624697605,351.000046573069,0.33,0.33,0.34,0.3224371764789837,0.3303722055506075,0.347190617970409,0.5309779565122194,0.3201088382195209,0.1489132052682598,0.03626544179901422,31.346262,-34452,101325,-88.43927624697605,351.000046573069,0.33,0.33,0.34,0.3224371764789837,0.3303722055506075,0.347190617970409,0.5309779565122194,0.3201088382195209,0.1489132052682598,0.03626544179901422
0.022,100.6043392450047,102.3488036612426,54.24613815654779,33.19943195085154,33.19943195085154,34.20547534330159,94.35464310667579,138.157449522565,75.6989857383398,48.32043921839293,73.53002927694509,33.9220274481536,0,0,0,31.346262,30.20947595982233,1.136786040177663,10.34426646,10.34426646,10.65772908,9.740658131394841,9.980371201374563,10.48844662705293,0.6036083286051592,0.363895258625437,0.1692824529470673,999.9999868332601,960.8452547086368,39.15473212462319,331.45098591132,476.55001154574,191.9989893762,312.1101678461535,459.7857208761248,188.9493659863586,19.34081806516651,16.76429066961526,3.049623389841418,-34452,-35851.64363049766,2742.774665978017,-11369.16,-11369.16,-11713.68,-32068.28933621543,-35224.67186687577,-39961.8587307091,2453.67614125697,3668.058744399201,1784.587867014826,0,0,0,1.646764068307816,0.9689339261637242,0.428909070581368,31.90173,31.80608812898745,34.44336114340731,101325,102237.8797017069,75973.86481171781,166858.3692212895,98177.23006853936,43459.21157665711,-88.43927624697611,-92.39354468759315,16.64327506306221,-29.18496116150212,-29.18496116150212,-30.06935392397188,-81.37414159646015,-90.28889037694184,-104.630005829761,12.83166803152653,20.7789901750334,21.3440022529137,0,0,0,351.0000465730688,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224371764789834,0.3303722055506076,0.3471906179704091,0.5309779565122245,0.320108838219517,0.1489132052682586,0.9637345582009853,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248287550119573,0.4785221331145029,0.1966491118735398,0.4939586357942077,0.4281549064429103,0.07788645776288186,0.9608452673598366,0.03915473264016338,0.03626544179901461,31.346262,-34452,101325,-88.43927624697611,351.0000465730688,0.33,0.33,0.34,0.3224371764789834,0.3303722055506076,0.3471906179704091,0.5309779565122245,0.320108838219517,0.1489132052682586,0.03626544179901461,31.346262,-34452,101325,-88.43927624697611,351.0000465730688,0.33,0.33,0.34,0.3224371764789834,0.3303722055506076,0.3471906179704091,0.5309779565122245,0.320108838219517,0.1489132052682586,0.03626544179901461
0.024,100.6043392450046,102.3488036612426,54.24613815654781,33.19943195085152,33.19943195085152,34.20547534330156,94.35464310667568,138.157449522565,75.6989857383398,48.32043921839293,73.53002927694503,33.9220274481536,0,0,0,31.346262,30.20947595982233,1.136786040177665,10.34426646,10.34426646,10.65772908,9.740658131394841,9.98037120137456,10.48844662705293,0.6036083286051563,0.3638952586254402,0.1692824529470681,999.9999868332601,960.8452547086368,39.15473212462326,331.45098591132,476.55001154574,191.9989893762,312.1101678461535,459.7857208761246,188.9493659863586,19.34081806516642,16.76429066961541,3.049623389841431,-34452,-35851.64363049767,2742.774665978014,-11369.16,-11369.16,-11713.68,-32068.28933621544,-35224.67186687579,-39961.85873070911,2453.676141256965,3668.058744399193,1784.587867014822,0,0,0,1.646764068307828,0.9689339261637242,0.4289090705813672,31.90173,31.80608812898745,34.44336114340733,101325,102237.8797017073,75973.86481171781,166858.3692212907,98177.23006853936,43459.21157665703,-88.43927624697618,-92.39354468759322,16.64327506306222,-29.18496116150214,-29.18496116150214,-30.0693539239719,-81.37414159646022,-90.28889037694191,-104.6300058297611,12.83166803152656,20.77899017503331,21.34400225291365,0,0,0,351.0000465730687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.3471906179704091,0.5309779565122213,0.3201088382195195,0.1489132052682592,0.9637345582009853,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248287550119573,0.4785221331145028,0.1966491118735398,0.4939586357942045,0.4281549064429134,0.07788645776288207,0.9608452673598366,0.03915473264016344,0.03626544179901465,31.346262,-34452,101325,-88.43927624697618,351.0000465730687,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.3471906179704091,0.5309779565122213,0.3201088382195195,0.1489132052682592,0.03626544179901465,31.346262,-34452,101325,-88.43927624697618,351.0000465730687,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.3471906179704091,0.5309779565122213,0.3201088382195195,0.1489132052682592,0.03626544179901465
0.026,100.6043392450047,102.3488036612427,54.2461381565478,33.19943195085155,33.19943195085155,34.2054753433016,94.35464310667584,138.157449522565,75.69898573833981,48.32043921839298,73.53002927694509,33.9220274481536,0,0,0,31.346262,30.20947595982235,1.136786040177652,10.34426646,10.34426646,10.65772908,9.740658131394849,9.980371201374565,10.48844662705293,0.6036083286051505,0.3638952586254343,0.1692824529470676,999.9999868332601,960.8452547086373,39.15473212462279,331.45098591132,476.55001154574,191.9989893762,312.1101678461537,459.7857208761249,188.9493659863586,19.34081806516623,16.76429066961513,3.049623389841424,-34452,-35851.64363049765,2742.77466597802,-11369.16,-11369.16,-11713.68,-32068.28933621542,-35224.67186687576,-39961.85873070909,2453.676141256973,3668.058744399205,1784.587867014828,0,0,0,1.646764068307828,0.9689339261637242,0.428909070581371,31.90173,31.80608812898745,34.44336114340729,101325,102237.8797017074,75973.8648117182,166858.3692212907,98177.23006853936,43459.21157665741,-88.43927624697609,-92.39354468759311,16.64327506306224,-29.18496116150211,-29.18496116150211,-30.06935392397187,-81.37414159646013,-90.28889037694178,-104.630005829761,12.83166803152658,20.7789901750334,21.3440022529136,0,0,0,351.0000465730689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224371764789836,0.3303722055506075,0.3471906179704089,0.5309779565122219,0.3201088382195177,0.1489132052682604,0.9637345582009856,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248287550119573,0.4785221331145028,0.1966491118735397,0.4939586357942056,0.4281549064429115,0.0778864577628828,0.960845267359837,0.03915473264016297,0.03626544179901426,31.346262,-34452,101325,-88.43927624697609,351.0000465730689,0.33,0.33,0.34,0.3224371764789836,0.3303722055506075,0.3471906179704089,0.5309779565122219,0.3201088382195177,0.1489132052682604,0.03626544179901426,31.346262,-34452,101325,-88.43927624697609,351.0000465730689,0.33,0.33,0.34,0.3224371764789836,0.3303722055506075,0.3471906179704089,0.5309779565122219,0.3201088382195177,0.1489132052682604,0.03626544179901426
0.028,100.6043392450047,102.3488036612427,54.24613815654779,33.19943195085155,33.19943195085155,34.2054753433016,94.35464310667589,138.157449522565,75.6989857383398,48.32043921839298,73.53002927694509,33.9220274481536,0,0,0,31.346262,30.20947595982235,1.136786040177649,10.34426646,10.34426646,10.65772908,9.74065813139485,9.980371201374568,10.48844662705293,0.6036083286051492,0.3638952586254331,0.169282452947067,999.9999868332601,960.8452547086374,39.15473212462268,331.45098591132,476.55001154574,191.9989893762,312.1101678461538,459.785720876125,188.9493659863586,19.34081806516619,16.76429066961508,3.049623389841411,-34452,-35851.64363049765,2742.774665978024,-11369.16,-11369.16,-11713.68,-32068.28933621542,-35224.67186687575,-39961.85873070909,2453.676141256977,3668.05874439921,1784.587867014829,0,0,0,1.646764068307843,0.9689339261637242,0.428909070581371,31.90173,31.80608812898745,34.44336114340729,101325,102237.8797017079,75973.8648117183,166858.3692212921,98177.23006853936,43459.21157665741,-88.43927624697609,-92.39354468759309,16.64327506306224,-29.18496116150211,-29.18496116150211,-30.06935392397187,-81.37414159646011,-90.28889037694177,-104.630005829761,12.83166803152658,20.77899017503341,21.34400225291362,0,0,0,351.0000465730689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224371764789836,0.3303722055506076,0.347190617970409,0.5309779565122222,0.3201088382195175,0.1489132052682602,0.9637345582009857,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248287550119574,0.4785221331145029,0.1966491118735397,0.493958635794206,0.4281549064429113,0.07788645776288271,0.9608452673598371,0.03915473264016286,0.03626544179901416,31.346262,-34452,101325,-88.43927624697609,351.0000465730689,0.33,0.33,0.34,0.3224371764789836,0.3303722055506076,0.347190617970409,0.5309779565122222,0.3201088382195175,0.1489132052682602,0.03626544179901416,31.346262,-34452,101325,-88.43927624697609,351.0000465730689,0.33,0.33,0.34,0.3224371764789836,0.3303722055506076,0.347190617970409,0.5309779565122222,0.3201088382195175,0.1489132052682602,0.03626544179901416
0.03,100.6043392450047,102.3488036612427,54.24613815654782,33.19943195085155,33.19943195085155,34.2054753433016,94.35464310667584,138.157449522565,75.69898573833981,48.32043921839298,73.53002927694509,33.9220274481536,0,0,0,31.346262,30.20947595982235,1.136786040177652,10.34426646,10.34426646,10.65772908,9.74065813139485,9.980371201374568,10.48844662705293,0.6036083286051512,0.3638952586254343,0.1692824529470663,999.9999868332601,960.8452547086374,39.1547321246228,331.45098591132,476.55001154574,191.9989893762,312.1101678461538,459.785720876125,188.9493659863586,19.34081806516626,16.76429066961514,3.0496233898414,-34452,-35851.64363049765,2742.77466597802,-11369.16,-11369.16,-11713.68,-32068.28933621542,-35224.67186687576,-39961.85873070909,2453.676141256973,3668.058744399205,1784.587867014828,0,0,0,1.646764068307828,0.9689339261637242,0.428909070581371,31.90173,31.80608812898745,34.44336114340731,101325,102237.8797017074,75973.8648117182,166858.3692212907,98177.23006853936,43459.21157665741,-88.43927624697612,-92.39354468759312,16.64327506306223,-29.18496116150212,-29.18496116150212,-30.06935392397188,-81.37414159646013,-90.28889037694179,-104.630005829761,12.83166803152656,20.77899017503339,21.34400225291366,0,0,0,351.0000465730689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224371764789836,0.3303722055506076,0.347190617970409,0.5309779565122228,0.3201088382195179,0.1489132052682593,0.9637345582009857,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248287550119574,0.4785221331145029,0.1966491118735397,0.4939586357942062,0.4281549064429115,0.07788645776288221,0.9608452673598371,0.03915473264016298,0.03626544179901425,31.346262,-34452,101325,-88.43927624697612,351.0000465730689,0.33,0.33,0.34,0.3224371764789836,0.3303722055506076,0.347190617970409,0.5309779565122228,0.3201088382195179,0.1489132052682593,0.03626544179901425,31.346262,-34452,101325,-88.43927624697612,351.0000465730689,0.33,0.33,0.34,0.3224371764789836,0.3303722055506076,0.347190617970409,0.5309779565122228,0.3201088382195179,0.1489132052682593,0.03626544179901425
0.032,100.6043392450048,102.3488036612428,54.24613815654789,33.19943195085158,33.19943195085158,34.20547534330164,94.35464310667595,138.1574495225652,75.69898573833981,48.32043921839298,73.53002927694509,33.9220274481536,0,0,0,31.346262,30.20947595982235,1.136786040177651,10.34426646,10.34426646,10.65772908,9.740658131394854,9.980371201374565,10.48844662705293,0.6036083286051468,0.3638952586254376,0.1692824529470668,999.9999868332601,960.8452547086374,39.1547321246228,331.45098591132,476.55001154574,191.9989893762,312.1101678461539,459.7857208761249,188.9493659863586,19.34081806516611,16.76429066961528,3.049623389841409,-34452,-35851.64363049765,2742.774665978031,-11369.16,-11369.16,-11713.68,-32068.28933621541,-35224.67186687575,-39961.85873070909,2453.676141256979,3668.058744399214,1784.587867014832,0,0,0,1.646764068307843,0.9689339261637242,0.428909070581371,31.90173,31.80608812898745,34.44336114340734,101325,102237.8797017079,75973.8648117183,166858.3692212921,98177.23006853936,43459.21157665741,-88.43927624697605,-92.39354468759305,16.64327506306228,-29.1849611615021,-29.1849611615021,-30.06935392397186,-81.37414159646008,-90.28889037694171,-104.6300058297609,12.83166803152664,20.77899017503334,21.34400225291365,0,0,0,351.000046573069,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224371764789837,0.3303722055506075,0.347190617970409,0.5309779565122192,0.3201088382195209,0.1489132052682598,0.9637345582009857,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248287550119575,0.4785221331145027,0.1966491118735397,0.4939586357942025,0.4281549064429153,0.0778864577628824,0.9608452673598371,0.03915473264016298,0.03626544179901423,31.346262,-34452,101325,-88.43927624697605,351.000046573069,0.33,0.33,0.34,0.3224371764789837,0.3303722055506075,0.347190617970409,0.5309779565122192,0.3201088382195209,0.1489132052682598,0.03626544179901423,31.346262,-34452,101325,-88.43927624697605,351.000046573069,0.33,0.33,0.34,0.3224371764789837,0.3303722055506075,0.347190617970409,0.5309779565122192,0.3201088382195209,0.1489132052682598,0.03626544179901423
0.034,100.6043392450047,102.3488036612426,54.24613815654779,33.19943195085155,33.19943195085155,34.20547534330159,94.35464310667579,138.157449522565,75.6989857383398,48.32043921839293,73.53002927694509,33.9220274481536,0,0,0,31.346262,30.20947595982235,1.136786040177653,10.34426646,10.34426646,10.65772908,9.740658131394847,9.980371201374565,10.48844662705293,0.603608328605152,0.3638952586254346,0.1692824529470665,999.9999868332601,960.8452547086372,39.15473212462283,331.45098591132,476.55001154574,191.9989893762,312.1101678461537,459.7857208761249,188.9493659863586,19.34081806516628,16.76429066961515,3.049623389841403,-34452,-35851.64363049765,2742.774665978017,-11369.16,-11369.16,-11713.68,-32068.28933621543,-35224.67186687577,-39961.8587307091,2453.67614125697,3668.058744399201,1784.587867014826,0,0,0,1.646764068307816,0.9689339261637242,0.428909070581368,31.90173,31.80608812898745,34.4433611434073,101325,102237.8797017069,75973.86481171781,166858.3692212895,98177.23006853936,43459.21157665711,-88.43927624697612,-92.39354468759313,16.64327506306222,-29.18496116150212,-29.18496116150212,-30.06935392397188,-81.37414159646015,-90.28889037694184,-104.630005829761,12.83166803152656,20.77899017503338,21.34400225291366,0,0,0,351.0000465730688,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.347190617970409,0.5309779565122229,0.3201088382195177,0.1489132052682593,0.9637345582009856,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248287550119573,0.4785221331145028,0.1966491118735398,0.4939586357942063,0.4281549064429114,0.07788645776288221,0.9608452673598369,0.03915473264016301,0.03626544179901429,31.346262,-34452,101325,-88.43927624697612,351.0000465730688,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.347190617970409,0.5309779565122229,0.3201088382195177,0.1489132052682593,0.03626544179901429,31.346262,-34452,101325,-88.43927624697612,351.0000465730688,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.347190617970409,0.5309779565122229,0.3201088382195177,0.1489132052682593,0.03626544179901429
0.036,100.6043392450046,102.3488036612426,54.24613815654783,33.19943195085152,33.19943195085152,34.20547534330156,94.35464310667568,138.157449522565,75.6989857383398,48.32043921839293,73.53002927694503,33.9220274481536,0,0,0,31.346262,30.20947595982233,1.13678604017767,10.34426646,10.34426646,10.65772908,9.74065813139484,9.980371201374558,10.48844662705293,0.6036083286051593,0.363895258625442,0.1692824529470689,999.9999868332601,960.8452547086366,39.15473212462346,331.45098591132,476.55001154574,191.9989893762,312.1101678461534,459.7857208761245,188.9493659863585,19.34081806516652,16.76429066961549,3.049623389841447,-34452,-35851.64363049767,2742.774665978015,-11369.16,-11369.16,-11713.68,-32068.28933621544,-35224.67186687579,-39961.85873070911,2453.676141256965,3668.058744399193,1784.587867014822,0,0,0,1.646764068307828,0.9689339261637242,0.4289090705813672,31.90173,31.80608812898745,34.44336114340734,101325,102237.8797017073,75973.86481171781,166858.3692212907,98177.23006853936,43459.21157665703,-88.43927624697615,-92.39354468759322,16.64327506306222,-29.18496116150213,-29.18496116150213,-30.06935392397189,-81.37414159646022,-90.28889037694191,-104.6300058297611,12.83166803152656,20.77899017503331,21.34400225291365,0,0,0,351.0000465730687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.3471906179704091,0.5309779565122215,0.3201088382195195,0.1489132052682592,0.9637345582009851,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248287550119573,0.4785221331145028,0.1966491118735398,0.4939586357942045,0.4281549064429134,0.07788645776288207,0.9608452673598363,0.03915473264016364,0.03626544179901483,31.346262,-34452,101325,-88.43927624697615,351.0000465730687,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.3471906179704091,0.5309779565122215,0.3201088382195195,0.1489132052682592,0.03626544179901483,31.346262,-34452,101325,-88.43927624697615,351.0000465730687,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.3471906179704091,0.5309779565122215,0.3201088382195195,0.1489132052682592,0.03626544179901483
0.038,100.6043392450047,102.3488036612427,54.2461381565478,33.19943195085155,33.19943195085155,34.2054753433016,94.35464310667584,138.157449522565,75.69898573833981,48.32043921839298,73.53002927694509,33.9220274481536,0,0,0,31.346262,30.20947595982235,1.136786040177654,10.34426646,10.34426646,10.65772908,9.740658131394847,9.980371201374565,10.48844662705293,0.6036083286051512,0.3638952586254348,0.1692824529470679,999.9999868332601,960.8452547086372,39.15473212462285,331.45098591132,476.55001154574,191.9989893762,312.1101678461537,459.7857208761249,188.9493659863586,19.34081806516626,16.76429066961515,3.049623389841428,-34452,-35851.64363049765,2742.77466597802,-11369.16,-11369.16,-11713.68,-32068.28933621542,-35224.67186687576,-39961.85873070909,2453.676141256973,3668.058744399205,1784.587867014828,0,0,0,1.646764068307828,0.9689339261637242,0.428909070581371,31.90173,31.80608812898745,34.44336114340729,101325,102237.8797017074,75973.8648117182,166858.3692212907,98177.23006853936,43459.21157665741,-88.43927624697609,-92.39354468759311,16.64327506306224,-29.18496116150211,-29.18496116150211,-30.06935392397187,-81.37414159646013,-90.28889037694178,-104.630005829761,12.83166803152658,20.7789901750334,21.3440022529136,0,0,0,351.0000465730689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.347190617970409,0.5309779565122219,0.3201088382195177,0.1489132052682604,0.9637345582009856,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248287550119573,0.4785221331145028,0.1966491118735398,0.4939586357942056,0.4281549064429114,0.07788645776288282,0.9608452673598369,0.03915473264016302,0.03626544179901432,31.346262,-34452,101325,-88.43927624697609,351.0000465730689,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.347190617970409,0.5309779565122219,0.3201088382195177,0.1489132052682604,0.03626544179901432,31.346262,-34452,101325,-88.43927624697609,351.0000465730689,0.33,0.33,0.34,0.3224371764789835,0.3303722055506075,0.347190617970409,0.5309779565122219,0.3201088382195177,0.1489132052682604,0.03626544179901432
0.04,100.6043392450047,102.3488036612427,54.24613815654781,33.19943195085155,33.19943195085155,34.2054753433016,94.35464310667589,138.157449522565,75.6989857383398,48.32043921839298,73.53002927694509,33.9220274481536,0,0,0,31.346262,30.20947595982235,1.13678604017765,10.34426646,10.34426646,10.65772908,9.740658131394849,9.980371201374568,10.48844662705293,0.6036083286051498,0.3638952586254334,0.1692824529470671,999.9999868332601,960.8452547086374,39.15473212462272,331.45098591132,476.55001154574,191.9989893762,312.1101678461537,459.785720876125,188.9493659863586,19.34081806516621,16.76429066961509,3.049623389841414,-34452,-35851.64363049765,2742.774665978024,-11369.16,-11369.16,-11713.68,-32068.28933621542,-35224.67186687575,-39961.85873070909,2453.676141256977,3668.05874439921,1784.587867014829,0,0,0,1.646764068307843,0.9689339261637242,0.428909070581371,31.90173,31.80608812898745,34.44336114340729,101325,102237.8797017079,75973.8648117183,166858.3692212921,98177.23006853936,43459.21157665741,-88.43927624697608,-92.39354468759308,16.64327506306224,-29.18496116150211,-29.18496116150211,-30.06935392397187,-81.37414159646011,-90.28889037694177,-104.630005829761,12.83166803152658,20.77899017503341,21.34400225291362,0,0,0,351.0000465730689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224371764789835,0.3303722055506076,0.3471906179704089,0.5309779565122223,0.3201088382195175,0.1489132052682602,0.9637345582009857,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248287550119573,0.4785221331145029,0.1966491118735397,0.493958635794206,0.4281549064429112,0.07788645776288271,0.9608452673598371,0.0391547326401629,0.03626544179901419,31.346262,-34452,101325,-88.43927624697608,351.0000465730689,0.33,0.33,0.34,0.3224371764789835,0.3303722055506076,0.3471906179704089,0.5309779565122223,0.3201088382195175,0.1489132052682602,0.03626544179901419,31.346262,-34452,101325,-88.43927624697608,351.0000465730689,0.33,0.33,0.34,0.3224371764789835,0.3303722055506076,0.3471906179704089,0.5309779565122223,0.3201088382195175,0.1489132052682602,0.03626544179901419
